method,distribution,fold,client_fraction,local_epochs,round,n_selected,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_macro_f1,val_roc_auc,val_pr_auc,val_specificity,val_sensitivity
fedavg,noniid,1,1.0,3,10,6,0.04118,0.05244,0.9878,0.97778,0.96703,0.97238,0.98228,0.99921,0.99719,0.99373,0.96703
fedavg,noniid,1,1.0,3,11,6,0.0473,0.08529,0.99024,0.96774,0.98901,0.97826,0.98599,0.99886,0.9959,0.9906,0.98901
fedavg,noniid,1,1.0,3,12,6,0.04646,0.07832,0.99024,0.96774,0.98901,0.97826,0.98599,0.999,0.99669,0.9906,0.98901
fedavg,noniid,1,1.0,3,13,6,0.04297,0.09095,0.99268,0.97826,0.98901,0.98361,0.98945,0.99909,0.99673,0.99373,0.98901
fedavg,noniid,1,1.0,3,14,6,0.05408,0.09632,0.9878,0.97778,0.96703,0.97238,0.98228,0.99897,0.99631,0.99373,0.96703
fedavg,noniid,1,1.0,3,15,6,0.03515,0.0946,0.99024,0.95789,1.0,0.97849,0.98609,0.99795,0.98682,0.98746,1.0
fedavg,noniid,1,1.0,3,16,6,0.04703,0.09326,0.99268,0.97826,0.98901,0.98361,0.98945,0.99845,0.99351,0.99373,0.98901
fedavg,noniid,1,1.0,3,17,6,0.04272,0.09004,0.99268,0.97826,0.98901,0.98361,0.98945,0.99773,0.98519,0.99373,0.98901
fedavg,noniid,1,1.0,3,18,6,0.0504,0.10335,0.99024,0.95789,1.0,0.97849,0.98609,0.998,0.98706,0.98746,1.0
fedavg,noniid,1,1.0,3,19,6,0.02413,0.12475,0.99268,0.97826,0.98901,0.98361,0.98945,0.99745,0.98406,0.99373,0.98901
fedavg,noniid,1,1.0,3,20,6,0.03388,0.12631,0.99268,0.97826,0.98901,0.98361,0.98945,0.99728,0.98428,0.99373,0.98901
fedavg,dirichlet_a0.5,1,1.0,3,1,6,0.08055,0.72293,0.7866,0.0,0.0,0.0,0.44028,0.9777,0.94188,1.0,0.0
fedavg,dirichlet_a0.5,1,1.0,3,2,6,0.13288,0.52641,0.80645,1.0,0.09302,0.17021,0.53033,0.97872,0.92736,1.0,0.09302
fedavg,dirichlet_a0.5,1,1.0,3,3,6,0.0756,0.20115,0.90819,1.0,0.56977,0.72593,0.83539,0.98379,0.97029,1.0,0.56977
fedavg,dirichlet_a0.5,1,1.0,3,4,6,0.09301,0.04862,0.98759,0.97647,0.96512,0.97076,0.98144,0.99468,0.99224,0.99369,0.96512
fedavg,dirichlet_a0.5,1,1.0,3,5,6,0.12482,0.13225,0.94045,1.0,0.72093,0.83784,0.90068,0.99674,0.99342,1.0,0.72093
fedavg,dirichlet_a0.5,1,1.0,3,6,6,0.07363,0.10539,0.95285,1.0,0.77907,0.87582,0.92336,0.99864,0.99584,1.0,0.77907
fedavg,dirichlet_a0.5,1,1.0,3,7,6,0.08026,0.03826,0.99007,0.9881,0.96512,0.97647,0.98509,0.99754,0.99463,0.99685,0.96512
